RH and T log,Thu Aug  7 11:51:52 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
13.94,65.26,0,0,0,20.61,0,0,0
14.02,65.25,0,0,0,20.58,0,0,0
14.86,65.22,0,0,0,20.58,0,0,0
15.81,65.2,0,0,0,20.59,0,0,0
16.85,65.21,0,0,0,20.6,0,0,0
17.82,65.19,0,0,0,20.61,0,0,0
18.98,65.17,0,0,0,20.59,0,0,0
19.8,65.16,0,0,0,20.6,0,0,0
20.85,65.16,0,0,0,20.59,0,0,0
21.79,65.17,0,0,0,20.61,0,0,0
22.84,65.13,0,0,0,20.59,0,0,0
23.93,65.13,0,0,0,20.6,0,0,0
24.78,65.13,0,0,0,20.6,0,0,0
25.83,65.09,0,0,0,20.6,0,0,0
26.82,65.13,0,0,0,20.59,0,0,0
27.78,65.14,0,0,0,20.59,0,0,0
28.78,65.14,0,0,0,20.58,0,0,0
29.78,65.13,0,0,0,20.59,0,0,0
30.78,65.13,0,0,0,20.6,0,0,0
31.78,65.14,0,0,0,20.59,0,0,0
