RH and T log,Wed Aug 27 08:41:55 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
21.05,255.0,0,0,0,255.0,0,0,0
21.88,255.0,0,0,0,255.0,0,0,0
22.89,255.0,0,0,0,255.0,0,0,0
23.94,255.0,0,0,0,255.0,0,0,0
24.92,255.0,0,0,0,255.0,0,0,0
25.93,255.0,0,0,0,255.0,0,0,0
26.93,255.0,0,0,0,255.0,0,0,0
27.92,255.0,0,0,0,255.0,0,0,0
28.93,255.0,0,0,0,255.0,0,0,0
29.95,255.0,0,0,0,255.0,0,0,0
30.94,255.0,0,0,0,255.0,0,0,0
46.66,255.0,0,0,0,255.0,0,0,0
47.51,255.0,0,0,0,255.0,0,0,0
48.58,255.0,0,0,0,255.0,0,0,0
49.55,255.0,0,0,0,255.0,0,0,0
50.56,255.0,0,0,0,255.0,0,0,0
51.57,255.0,0,0,0,255.0,0,0,0
52.56,255.0,0,0,0,255.0,0,0,0
53.53,255.0,0,0,0,255.0,0,0,0
54.59,255.0,0,0,0,255.0,0,0,0
55.56,255.0,0,0,0,255.0,0,0,0
56.52,255.0,0,0,0,255.0,0,0,0
57.5,255.0,0,0,0,255.0,0,0,0
58.56,255.0,0,0,0,255.0,0,0,0
59.54,255.0,0,0,0,255.0,0,0,0
60.61,255.0,0,0,0,255.0,0,0,0
66.22,255.0,0,0,0,255.0,0,0,0
66.61,255.0,0,0,0,255.0,0,0,0
67.5,255.0,0,0,0,255.0,0,0,0
68.5,255.0,0,0,0,255.0,0,0,0
