RH and T log,Fri Aug 29 12:16:32 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
42.79,58.02,0,0,0,25.72,0,0,0
43.62,57.63,0,0,0,25.75,0,0,0
44.62,57.18,0,0,0,25.73,0,0,0
45.62,56.84,0,0,0,25.71,0,0,0
46.62,56.61,0,0,0,25.71,0,0,0
47.62,56.59,0,0,0,25.76,0,0,0
48.62,56.99,0,0,0,25.79,0,0,0
49.62,57.02,0,0,0,25.8,0,0,0
50.61,56.98,0,0,0,25.84,0,0,0
51.61,56.94,0,0,0,25.88,0,0,0
52.61,56.88,0,0,0,25.91,0,0,0
53.61,57.43,0,0,0,25.95,0,0,0
54.61,58.03,0,0,0,25.99,0,0,0
55.61,58.17,0,0,0,26.01,0,0,0
56.61,57.95,0,0,0,26.03,0,0,0
57.61,57.62,0,0,0,26.03,0,0,0
58.61,57.32,0,0,0,26.03,0,0,0
59.61,56.92,0,0,0,26.03,0,0,0
60.61,56.59,0,0,0,26.04,0,0,0
61.61,56.33,0,0,0,26.03,0,0,0
62.61,56.14,0,0,0,26.04,0,0,0
63.61,56.02,0,0,0,26.03,0,0,0
64.61,55.85,0,0,0,26.02,0,0,0
65.61,55.8,0,0,0,26.02,0,0,0
66.61,55.71,0,0,0,26.03,0,0,0
67.61,55.68,0,0,0,26.03,0,0,0
68.61,55.71,0,0,0,26.03,0,0,0
69.61,55.7,0,0,0,26.03,0,0,0
70.61,55.66,0,0,0,26.04,0,0,0
71.61,55.66,0,0,0,26.02,0,0,0
72.61,55.73,0,0,0,26.01,0,0,0
73.61,55.76,0,0,0,26.01,0,0,0
74.61,55.78,0,0,0,25.98,0,0,0
75.61,55.85,0,0,0,25.99,0,0,0
76.6,55.83,0,0,0,26.0,0,0,0
77.6,55.88,0,0,0,25.99,0,0,0
78.6,55.95,0,0,0,25.98,0,0,0
79.6,56.11,0,0,0,25.99,0,0,0
80.6,56.11,0,0,0,25.98,0,0,0
81.6,56.03,0,0,0,25.97,0,0,0
82.6,55.9,0,0,0,25.95,0,0,0
83.6,55.8,0,0,0,25.97,0,0,0
84.6,55.66,0,0,0,25.98,0,0,0
85.6,55.62,0,0,0,25.95,0,0,0
86.6,55.62,0,0,0,25.95,0,0,0
87.6,55.52,0,0,0,25.94,0,0,0
88.6,55.54,0,0,0,25.95,0,0,0
89.6,55.49,0,0,0,25.94,0,0,0
90.6,55.5,0,0,0,25.94,0,0,0
91.6,55.45,0,0,0,25.91,0,0,0
92.6,55.44,0,0,0,25.93,0,0,0
93.6,55.45,0,0,0,25.93,0,0,0
94.6,55.46,0,0,0,25.9,0,0,0
95.6,55.57,0,0,0,25.91,0,0,0
96.6,55.69,0,0,0,25.91,0,0,0
97.6,55.74,0,0,0,25.91,0,0,0
98.6,55.88,0,0,0,25.91,0,0,0
99.6,56.57,0,0,0,25.9,0,0,0
100.6,57.04,0,0,0,25.91,0,0,0
101.6,57.16,0,0,0,25.9,0,0,0
102.6,57.01,0,0,0,25.89,0,0,0
103.6,56.83,0,0,0,25.9,0,0,0
104.6,56.68,0,0,0,25.88,0,0,0
105.6,56.65,0,0,0,25.86,0,0,0
