RH and T log,Mon Sep  1 20:38:33 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
14.47,72.02,72.99,0,0,24.32,24.03,0,0
14.5,72.02,72.97,0,0,24.32,24.04,0,0
15.52,72.01,72.97,0,0,24.31,24.04,0,0
15.55,72.01,72.96,0,0,24.31,24.04,0,0
16.57,72.01,72.96,0,0,24.3,24.04,0,0
16.65,72.01,72.92,0,0,24.3,24.05,0,0
17.53,72.03,72.92,0,0,24.31,24.05,0,0
17.62,72.03,72.9,0,0,24.31,24.06,0,0
18.56,72.03,72.9,0,0,24.31,24.06,0,0
18.63,72.03,72.94,0,0,24.31,24.05,0,0
19.48,72.03,72.94,0,0,24.3,24.05,0,0
19.54,72.03,72.95,0,0,24.3,24.06,0,0
20.49,72.05,72.95,0,0,24.29,24.06,0,0
20.53,72.05,72.94,0,0,24.29,24.05,0,0
21.5,72.07,72.94,0,0,24.3,24.05,0,0
21.55,72.07,72.97,0,0,24.3,24.03,0,0
22.48,72.08,72.97,0,0,24.29,24.03,0,0
22.55,72.08,72.99,0,0,24.29,24.03,0,0
23.49,72.09,72.99,0,0,24.28,24.03,0,0
23.53,72.09,73.01,0,0,24.28,24.05,0,0
24.51,72.12,73.01,0,0,24.3,24.05,0,0
24.56,72.12,73.0,0,0,24.3,24.01,0,0
25.52,72.14,73.0,0,0,24.3,24.01,0,0
25.57,72.14,73.01,0,0,24.3,24.03,0,0
26.49,72.14,73.01,0,0,24.3,24.03,0,0
26.56,72.14,72.99,0,0,24.3,24.02,0,0
27.48,72.12,72.99,0,0,24.3,24.02,0,0
27.54,72.12,72.98,0,0,24.3,24.01,0,0
28.52,72.13,72.98,0,0,24.27,24.01,0,0
28.58,72.13,72.98,0,0,24.27,24.05,0,0
29.53,72.13,72.98,0,0,24.29,24.05,0,0
29.59,72.13,72.93,0,0,24.29,24.01,0,0
30.54,72.1,72.93,0,0,24.25,24.01,0,0
30.6,72.1,72.96,0,0,24.25,24.02,0,0
31.65,72.12,72.96,0,0,24.26,24.02,0,0
31.72,72.12,72.97,0,0,24.26,24.02,0,0
32.5,72.09,72.97,0,0,24.27,24.02,0,0
32.56,72.09,72.97,0,0,24.27,24.0,0,0
33.54,72.1,72.97,0,0,24.28,24.0,0,0
33.6,72.1,72.96,0,0,24.28,24.01,0,0
34.53,72.08,72.96,0,0,24.26,24.01,0,0
34.58,72.08,72.98,0,0,24.26,24.01,0,0
35.56,72.09,72.98,0,0,24.25,24.01,0,0
35.61,72.09,72.98,0,0,24.25,24.02,0,0
36.53,72.09,72.98,0,0,24.26,24.02,0,0
36.6,72.09,72.97,0,0,24.26,24.02,0,0
37.49,72.11,72.97,0,0,24.26,24.02,0,0
37.55,72.11,72.97,0,0,24.26,24.0,0,0
38.57,72.1,72.97,0,0,24.29,24.0,0,0
38.62,72.1,72.98,0,0,24.29,24.03,0,0
39.49,72.11,72.98,0,0,24.29,24.03,0,0
39.54,72.11,73.01,0,0,24.29,24.01,0,0
40.53,72.1,73.01,0,0,24.27,24.01,0,0
40.58,72.1,73.03,0,0,24.27,24.0,0,0
41.51,72.09,73.03,0,0,24.29,24.0,0,0
41.56,72.09,73.03,0,0,24.29,23.99,0,0
42.52,72.07,73.03,0,0,24.26,23.99,0,0
42.56,72.07,73.04,0,0,24.26,24.0,0,0
43.53,72.09,73.04,0,0,24.28,24.0,0,0
43.57,72.09,73.08,0,0,24.28,24.0,0,0
44.52,72.08,73.08,0,0,24.29,24.0,0,0
44.57,72.08,73.06,0,0,24.29,24.0,0,0
45.53,72.07,73.06,0,0,24.29,24.0,0,0
45.61,72.07,73.08,0,0,24.29,24.0,0,0
46.62,72.05,73.08,0,0,24.25,24.0,0,0
46.69,72.05,73.08,0,0,24.25,24.0,0,0
47.51,72.06,73.08,0,0,24.28,24.0,0,0
47.56,72.06,73.1,0,0,24.28,23.99,0,0
48.5,72.1,73.1,0,0,24.29,23.99,0,0
48.57,72.1,73.12,0,0,24.29,23.99,0,0
49.5,72.08,73.12,0,0,24.25,23.99,0,0
49.56,72.08,73.15,0,0,24.25,24.0,0,0
50.5,72.12,73.15,0,0,24.25,24.0,0,0
50.57,72.12,73.17,0,0,24.25,24.0,0,0
51.51,72.11,73.17,0,0,24.27,24.0,0,0
51.56,72.11,73.17,0,0,24.27,24.0,0,0
52.53,72.13,73.17,0,0,24.26,24.0,0,0
52.59,72.13,73.15,0,0,24.26,24.0,0,0
53.52,72.15,73.15,0,0,24.27,24.0,0,0
53.59,72.15,73.13,0,0,24.27,23.97,0,0
54.51,72.18,73.13,0,0,24.27,23.97,0,0
54.56,72.18,73.15,0,0,24.27,23.96,0,0
55.54,72.21,73.15,0,0,24.27,23.96,0,0
55.59,72.21,73.16,0,0,24.27,24.0,0,0
56.55,72.19,73.16,0,0,24.25,24.0,0,0
56.61,72.19,73.15,0,0,24.25,23.95,0,0
57.59,72.2,73.15,0,0,24.26,23.95,0,0
57.66,72.2,73.15,0,0,24.26,23.95,0,0
58.58,72.21,73.15,0,0,24.23,23.95,0,0
58.65,72.21,73.14,0,0,24.23,23.98,0,0
59.51,72.21,73.14,0,0,24.25,23.98,0,0
59.61,72.21,73.16,0,0,24.25,23.98,0,0
60.51,72.24,73.16,0,0,24.24,23.98,0,0
60.68,72.24,73.17,0,0,24.24,23.98,0,0
61.51,72.24,73.17,0,0,24.23,23.98,0,0
61.66,72.24,73.21,0,0,24.23,23.96,0,0
62.47,72.28,73.21,0,0,24.26,23.96,0,0
62.59,72.28,73.23,0,0,24.26,23.96,0,0
63.52,72.25,73.23,0,0,24.26,23.96,0,0
63.65,72.25,73.24,0,0,24.26,23.97,0,0
64.38,72.24,73.24,0,0,24.25,23.97,0,0
64.57,72.24,73.24,0,0,24.25,23.98,0,0
65.49,72.26,73.24,0,0,24.25,23.98,0,0
65.58,72.26,73.26,0,0,24.25,23.95,0,0
66.48,72.26,73.26,0,0,24.26,23.95,0,0
66.57,72.26,73.27,0,0,24.26,23.96,0,0
67.38,72.23,73.27,0,0,24.27,23.96,0,0
67.55,72.23,73.29,0,0,24.27,23.95,0,0
68.5,72.22,73.29,0,0,24.29,23.95,0,0
68.63,72.22,73.29,0,0,24.29,23.95,0,0
69.46,72.21,73.29,0,0,24.27,23.95,0,0
69.56,72.21,73.33,0,0,24.27,23.95,0,0
70.47,72.23,73.33,0,0,24.3,23.95,0,0
70.64,72.23,73.27,0,0,24.3,23.93,0,0
71.38,72.21,73.27,0,0,24.29,23.93,0,0
71.61,72.21,73.29,0,0,24.29,23.97,0,0
72.38,72.22,73.29,0,0,24.29,23.97,0,0
72.58,72.22,73.27,0,0,24.29,23.95,0,0
73.37,72.17,73.27,0,0,24.29,23.95,0,0
73.57,72.17,73.24,0,0,24.29,23.95,0,0
74.37,72.17,73.24,0,0,24.29,23.95,0,0
