RH and T log,Tue Sep 23 11:02:13 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
25.56,99.73,92.09,0,0,42.98,47.0,0,0
25.92,99.69,92.09,0,0,43.22,46.93,0,0
26.92,99.64,92.04,0,0,43.12,46.92,0,0
27.92,99.61,92.05,0,0,43.11,46.93,0,0
28.92,99.61,92.0,0,0,43.12,46.91,0,0
29.92,99.62,91.99,0,0,43.15,46.95,0,0
30.95,99.62,92.04,0,0,43.14,46.92,0,0
31.95,99.61,92.05,0,0,43.15,46.91,0,0
33.06,99.61,92.11,0,0,43.18,46.92,0,0
34.0,99.63,92.05,0,0,43.17,46.79,0,0
34.91,99.61,92.09,0,0,43.16,46.82,0,0
35.91,99.6,92.06,0,0,43.16,46.89,0,0
36.91,99.63,92.08,0,0,43.16,46.9,0,0
37.91,99.61,92.03,0,0,43.16,46.94,0,0
38.91,99.63,92.03,0,0,43.15,46.97,0,0
39.9,99.64,92.07,0,0,43.18,47.03,0,0
40.9,99.63,92.04,0,0,43.18,46.98,0,0
41.9,99.62,91.86,0,0,43.19,46.29,0,0
42.9,99.61,92.42,0,0,43.19,45.79,0,0
43.9,99.63,93.15,0,0,43.2,45.62,0,0
44.9,99.58,93.66,0,0,43.18,45.63,0,0
46.0,99.6,94.01,0,0,43.18,45.59,0,0
46.91,99.63,94.34,0,0,43.17,45.7,0,0
47.9,99.62,94.3,0,0,43.16,45.61,0,0
48.89,99.6,94.13,0,0,43.18,45.66,0,0
49.89,99.61,94.04,0,0,43.16,45.64,0,0
50.89,99.63,94.13,0,0,43.18,45.73,0,0
51.9,99.63,94.09,0,0,43.17,45.63,0,0
52.89,99.61,94.0,0,0,43.18,45.59,0,0
53.89,99.58,94.05,0,0,43.16,45.63,0,0
54.89,99.61,94.03,0,0,43.15,45.49,0,0
55.89,99.59,94.01,0,0,43.14,45.38,0,0
56.89,99.59,94.04,0,0,43.15,45.46,0,0
57.89,99.6,93.99,0,0,43.14,45.54,0,0
58.9,99.61,93.88,0,0,43.15,45.57,0,0
59.9,99.61,93.79,0,0,43.15,45.54,0,0
61.0,99.58,93.73,0,0,43.15,45.55,0,0
61.9,99.55,93.7,0,0,43.13,45.59,0,0
62.9,99.54,93.64,0,0,43.12,45.48,0,0
63.91,99.54,93.64,0,0,43.12,45.48,0,0
64.9,99.53,93.66,0,0,43.11,45.51,0,0
65.89,99.55,93.68,0,0,43.11,45.53,0,0
66.89,99.52,93.69,0,0,43.11,45.4,0,0
67.88,99.53,93.72,0,0,43.1,45.33,0,0
68.88,99.52,93.77,0,0,43.07,45.27,0,0
69.89,99.53,93.88,0,0,43.1,45.25,0,0
70.9,99.52,93.86,0,0,43.07,45.26,0,0
71.88,99.5,93.92,0,0,43.07,45.29,0,0
72.89,99.52,93.93,0,0,43.07,45.3,0,0
73.9,99.51,93.87,0,0,43.1,45.11,0,0
74.91,99.52,93.94,0,0,43.08,45.12,0,0
75.98,99.53,93.94,0,0,43.1,45.21,0,0
76.92,99.52,93.94,0,0,43.11,45.16,0,0
77.91,99.53,93.95,0,0,43.1,45.13,0,0
78.91,99.54,94.05,0,0,43.07,44.98,0,0
79.92,99.49,94.13,0,0,43.05,45.2,0,0
80.94,99.5,94.08,0,0,43.05,45.31,0,0
81.92,99.49,94.08,0,0,43.05,45.42,0,0
82.91,99.49,94.01,0,0,43.06,45.52,0,0
83.91,99.49,93.9,0,0,43.04,45.52,0,0
84.91,99.47,93.84,0,0,43.05,45.6,0,0
85.91,99.44,93.8,0,0,43.05,45.49,0,0
86.91,99.45,93.76,0,0,43.05,45.4,0,0
87.91,99.47,93.73,0,0,43.02,45.27,0,0
88.9,99.47,93.79,0,0,43.05,45.18,0,0
89.92,99.43,93.83,0,0,43.02,45.11,0,0
91.07,99.47,93.99,0,0,43.01,45.24,0,0
