RH and T log,Mon Sep  8 13:23:09 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
6.79,61.25,0,0,0,24.61,0,0,0
7.31,61.3,0,0,0,24.6,0,0,0
8.32,61.28,0,0,0,24.62,0,0,0
9.32,61.26,0,0,0,24.6,0,0,0
10.3,61.23,0,0,0,24.59,0,0,0
11.3,61.24,0,0,0,24.6,0,0,0
12.3,61.25,0,0,0,24.61,0,0,0
13.3,61.26,0,0,0,24.6,0,0,0
14.3,61.25,0,0,0,24.6,0,0,0
15.3,61.31,0,0,0,24.61,0,0,0
16.3,61.35,0,0,0,24.58,0,0,0
17.3,61.39,0,0,0,24.6,0,0,0
18.29,61.38,0,0,0,24.58,0,0,0
19.29,61.43,0,0,0,24.6,0,0,0
20.32,61.52,0,0,0,24.61,0,0,0
21.34,61.52,0,0,0,24.6,0,0,0
22.34,61.57,0,0,0,24.58,0,0,0
23.29,61.65,0,0,0,24.58,0,0,0
24.3,61.74,0,0,0,24.61,0,0,0
25.3,61.81,0,0,0,24.59,0,0,0
26.31,61.91,0,0,0,24.6,0,0,0
27.29,62.02,0,0,0,24.6,0,0,0
28.3,62.09,0,0,0,24.59,0,0,0
29.31,62.17,0,0,0,24.57,0,0,0
30.34,62.27,0,0,0,24.58,0,0,0
31.32,62.33,0,0,0,24.58,0,0,0
32.31,62.42,0,0,0,24.58,0,0,0
33.31,62.58,0,0,0,24.59,0,0,0
34.31,62.76,0,0,0,24.61,0,0,0
35.32,62.99,0,0,0,24.59,0,0,0
36.27,63.28,0,0,0,24.61,0,0,0
37.27,63.6,0,0,0,24.61,0,0,0
38.26,63.96,0,0,0,24.61,0,0,0
39.26,64.32,0,0,0,24.62,0,0,0
40.26,64.62,0,0,0,24.63,0,0,0
41.26,64.93,0,0,0,24.62,0,0,0
42.26,65.14,0,0,0,24.66,0,0,0
43.26,65.27,0,0,0,24.65,0,0,0
44.26,65.35,0,0,0,24.68,0,0,0
45.26,65.34,0,0,0,24.66,0,0,0
46.25,65.23,0,0,0,24.65,0,0,0
47.25,65.03,0,0,0,24.66,0,0,0
48.25,64.79,0,0,0,24.64,0,0,0
49.25,64.49,0,0,0,24.68,0,0,0
50.25,64.11,0,0,0,24.65,0,0,0
51.25,63.74,0,0,0,24.7,0,0,0
52.25,63.31,0,0,0,24.68,0,0,0
53.25,62.84,0,0,0,24.68,0,0,0
54.24,62.37,0,0,0,24.69,0,0,0
55.24,61.87,0,0,0,24.69,0,0,0
56.24,61.35,0,0,0,24.7,0,0,0
57.24,60.79,0,0,0,24.7,0,0,0
58.24,60.3,0,0,0,24.69,0,0,0
59.24,59.78,0,0,0,24.69,0,0,0
60.24,59.26,0,0,0,24.68,0,0,0
61.23,58.77,0,0,0,24.7,0,0,0
62.23,58.3,0,0,0,24.68,0,0,0
63.23,57.82,0,0,0,24.69,0,0,0
64.23,57.39,0,0,0,24.7,0,0,0
65.23,56.91,0,0,0,24.68,0,0,0
66.23,56.48,0,0,0,24.69,0,0,0
67.23,56.07,0,0,0,24.68,0,0,0
68.23,55.67,0,0,0,24.65,0,0,0
69.22,55.26,0,0,0,24.68,0,0,0
70.22,54.85,0,0,0,24.69,0,0,0
71.22,54.47,0,0,0,24.7,0,0,0
72.22,54.06,0,0,0,24.7,0,0,0
73.22,53.69,0,0,0,24.7,0,0,0
74.22,53.32,0,0,0,24.69,0,0,0
75.22,52.96,0,0,0,24.69,0,0,0
76.22,52.57,0,0,0,24.69,0,0,0
77.21,52.24,0,0,0,24.67,0,0,0
78.21,51.9,0,0,0,24.69,0,0,0
79.21,51.58,0,0,0,24.69,0,0,0
80.21,51.21,0,0,0,24.68,0,0,0
81.21,50.9,0,0,0,24.67,0,0,0
82.47,50.6,0,0,0,24.68,0,0,0
83.21,50.28,0,0,0,24.67,0,0,0
84.21,49.97,0,0,0,24.68,0,0,0
85.2,49.69,0,0,0,24.66,0,0,0
86.2,49.39,0,0,0,24.67,0,0,0
87.22,49.11,0,0,0,24.68,0,0,0
88.26,48.82,0,0,0,24.68,0,0,0
89.22,48.53,0,0,0,24.65,0,0,0
90.26,48.23,0,0,0,24.66,0,0,0
91.21,47.96,0,0,0,24.68,0,0,0
92.21,47.66,0,0,0,24.65,0,0,0
93.21,47.41,0,0,0,24.65,0,0,0
94.2,47.14,0,0,0,24.65,0,0,0
95.2,46.85,0,0,0,24.67,0,0,0
96.21,46.56,0,0,0,24.67,0,0,0
97.51,46.3,0,0,0,24.66,0,0,0
98.21,45.99,0,0,0,24.66,0,0,0
99.19,45.73,0,0,0,24.65,0,0,0
100.19,45.49,0,0,0,24.64,0,0,0
101.2,45.19,0,0,0,24.66,0,0,0
102.21,44.96,0,0,0,24.66,0,0,0
103.23,44.7,0,0,0,24.65,0,0,0
104.21,44.42,0,0,0,24.65,0,0,0
105.22,44.18,0,0,0,24.65,0,0,0
106.26,43.94,0,0,0,24.67,0,0,0
107.23,43.69,0,0,0,24.64,0,0,0
108.3,43.48,0,0,0,24.65,0,0,0
109.22,43.23,0,0,0,24.63,0,0,0
110.26,43.01,0,0,0,24.63,0,0,0
111.27,42.75,0,0,0,24.63,0,0,0
112.38,42.5,0,0,0,24.66,0,0,0
113.17,42.28,0,0,0,24.64,0,0,0
114.22,42.06,0,0,0,24.64,0,0,0
115.22,41.86,0,0,0,24.63,0,0,0
116.24,41.64,0,0,0,24.63,0,0,0
117.23,41.43,0,0,0,24.62,0,0,0
118.23,41.21,0,0,0,24.64,0,0,0
119.23,41.01,0,0,0,24.64,0,0,0
120.17,40.79,0,0,0,24.64,0,0,0
121.17,40.57,0,0,0,24.65,0,0,0
122.17,40.39,0,0,0,24.62,0,0,0
123.19,40.19,0,0,0,24.61,0,0,0
124.22,40.01,0,0,0,24.62,0,0,0
125.16,39.8,0,0,0,24.63,0,0,0
126.17,39.6,0,0,0,24.62,0,0,0
127.92,39.4,0,0,0,24.62,0,0,0
128.19,39.27,0,0,0,24.62,0,0,0
129.18,39.05,0,0,0,24.62,0,0,0
130.18,38.84,0,0,0,24.62,0,0,0
131.18,38.66,0,0,0,24.62,0,0,0
132.17,38.47,0,0,0,24.62,0,0,0
133.25,38.28,0,0,0,24.62,0,0,0
134.2,38.11,0,0,0,24.61,0,0,0
135.21,37.91,0,0,0,24.62,0,0,0
136.21,37.75,0,0,0,24.62,0,0,0
137.21,37.56,0,0,0,24.63,0,0,0
138.29,37.34,0,0,0,24.62,0,0,0
139.3,37.24,0,0,0,24.62,0,0,0
140.21,37.06,0,0,0,24.62,0,0,0
141.2,36.86,0,0,0,24.6,0,0,0
142.24,36.72,0,0,0,24.61,0,0,0
143.17,36.54,0,0,0,24.61,0,0,0
144.17,36.37,0,0,0,24.62,0,0,0
145.12,36.21,0,0,0,24.58,0,0,0
146.16,36.09,0,0,0,24.6,0,0,0
147.17,35.87,0,0,0,24.59,0,0,0
148.12,35.74,0,0,0,24.61,0,0,0
149.12,35.58,0,0,0,24.6,0,0,0
150.12,35.46,0,0,0,24.61,0,0,0
151.12,35.31,0,0,0,24.6,0,0,0
152.12,35.18,0,0,0,24.61,0,0,0
153.12,35.02,0,0,0,24.58,0,0,0
154.11,34.87,0,0,0,24.58,0,0,0
155.11,34.72,0,0,0,24.59,0,0,0
156.11,34.62,0,0,0,24.59,0,0,0
157.11,34.49,0,0,0,24.59,0,0,0
158.11,34.32,0,0,0,24.6,0,0,0
159.11,34.2,0,0,0,24.59,0,0,0
160.11,34.04,0,0,0,24.58,0,0,0
161.11,33.92,0,0,0,24.59,0,0,0
162.1,33.8,0,0,0,24.58,0,0,0
163.1,33.7,0,0,0,24.6,0,0,0
164.1,33.55,0,0,0,24.58,0,0,0
165.1,33.45,0,0,0,24.57,0,0,0
166.1,33.34,0,0,0,24.59,0,0,0
167.1,33.21,0,0,0,24.6,0,0,0
168.1,33.07,0,0,0,24.6,0,0,0
169.1,33.0,0,0,0,24.61,0,0,0
170.1,32.86,0,0,0,24.58,0,0,0
171.09,32.77,0,0,0,24.56,0,0,0
172.09,32.68,0,0,0,24.58,0,0,0
173.09,32.52,0,0,0,24.58,0,0,0
174.09,32.43,0,0,0,24.58,0,0,0
175.09,32.37,0,0,0,24.58,0,0,0
176.09,32.23,0,0,0,24.57,0,0,0
177.09,32.12,0,0,0,24.58,0,0,0
178.09,32.05,0,0,0,24.57,0,0,0
179.08,31.92,0,0,0,24.56,0,0,0
180.08,31.84,0,0,0,24.56,0,0,0
181.08,31.72,0,0,0,24.57,0,0,0
182.08,31.61,0,0,0,24.57,0,0,0
183.08,31.54,0,0,0,24.56,0,0,0
184.08,31.44,0,0,0,24.56,0,0,0
185.08,31.37,0,0,0,24.57,0,0,0
186.08,31.26,0,0,0,24.56,0,0,0
187.07,31.19,0,0,0,24.57,0,0,0
188.07,31.08,0,0,0,24.55,0,0,0
189.07,31.01,0,0,0,24.56,0,0,0
190.07,30.91,0,0,0,24.57,0,0,0
191.07,30.83,0,0,0,24.55,0,0,0
192.07,30.72,0,0,0,24.55,0,0,0
193.07,30.66,0,0,0,24.56,0,0,0
194.06,30.6,0,0,0,24.57,0,0,0
195.06,30.5,0,0,0,24.56,0,0,0
196.06,30.43,0,0,0,24.56,0,0,0
197.06,30.35,0,0,0,24.55,0,0,0
198.06,30.27,0,0,0,24.54,0,0,0
199.06,30.17,0,0,0,24.56,0,0,0
200.06,30.13,0,0,0,24.56,0,0,0
201.05,30.02,0,0,0,24.54,0,0,0
202.09,29.84,0,0,0,24.55,0,0,0
203.05,29.5,0,0,0,24.55,0,0,0
204.05,29.11,0,0,0,24.54,0,0,0
205.05,28.75,0,0,0,24.55,0,0,0
206.05,28.37,0,0,0,24.55,0,0,0
207.05,27.96,0,0,0,24.54,0,0,0
208.05,27.52,0,0,0,24.53,0,0,0
209.05,27.02,0,0,0,24.55,0,0,0
210.04,26.6,0,0,0,24.54,0,0,0
211.04,26.21,0,0,0,24.53,0,0,0
212.04,25.84,0,0,0,24.53,0,0,0
213.04,25.41,0,0,0,24.55,0,0,0
214.04,25.11,0,0,0,24.55,0,0,0
215.04,24.75,0,0,0,24.53,0,0,0
216.04,24.5,0,0,0,24.52,0,0,0
217.03,24.23,0,0,0,24.54,0,0,0
218.03,23.97,0,0,0,24.54,0,0,0
219.03,23.76,0,0,0,24.53,0,0,0
220.03,23.49,0,0,0,24.55,0,0,0
221.03,23.25,0,0,0,24.51,0,0,0
222.03,23.03,0,0,0,24.54,0,0,0
223.03,22.88,0,0,0,24.53,0,0,0
224.03,22.7,0,0,0,24.5,0,0,0
225.02,22.48,0,0,0,24.53,0,0,0
226.02,22.0,0,0,0,24.53,0,0,0
227.02,21.46,0,0,0,24.53,0,0,0
228.02,20.84,0,0,0,24.51,0,0,0
229.02,20.16,0,0,0,24.5,0,0,0
230.02,19.46,0,0,0,24.52,0,0,0
231.02,18.82,0,0,0,24.52,0,0,0
232.06,18.22,0,0,0,24.52,0,0,0
233.01,17.78,0,0,0,24.49,0,0,0
234.01,17.42,0,0,0,24.51,0,0,0
235.01,17.02,0,0,0,24.53,0,0,0
236.01,16.75,0,0,0,24.51,0,0,0
237.01,16.5,0,0,0,24.5,0,0,0
238.01,16.26,0,0,0,24.49,0,0,0
239.01,16.04,0,0,0,24.51,0,0,0
240.01,15.83,0,0,0,24.5,0,0,0
241.01,15.67,0,0,0,24.51,0,0,0
242.0,15.52,0,0,0,24.51,0,0,0
243.0,15.31,0,0,0,24.51,0,0,0
244.0,15.19,0,0,0,24.5,0,0,0
245.0,15.03,0,0,0,24.5,0,0,0
246.0,14.92,0,0,0,24.5,0,0,0
247.0,14.81,0,0,0,24.51,0,0,0
248.0,14.7,0,0,0,24.51,0,0,0
248.99,14.6,0,0,0,24.49,0,0,0
249.99,14.45,0,0,0,24.5,0,0,0
250.99,14.37,0,0,0,24.5,0,0,0
251.99,14.26,0,0,0,24.5,0,0,0
252.99,14.22,0,0,0,24.49,0,0,0
253.99,14.1,0,0,0,24.5,0,0,0
254.99,14.02,0,0,0,24.51,0,0,0
255.98,13.94,0,0,0,24.5,0,0,0
256.98,13.9,0,0,0,24.47,0,0,0
257.99,13.83,0,0,0,24.49,0,0,0
