RH and T log,Fri Sep 12 14:57:00 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
11.78,37.05,0,0,0,255.0,0,0,0
12.3,37.05,0,0,0,255.0,0,0,0
13.26,37.05,0,0,0,255.0,0,0,0
14.27,37.05,0,0,0,255.0,0,0,0
15.27,37.05,0,0,0,255.0,0,0,0
16.26,37.05,0,0,0,255.0,0,0,0
17.27,37.05,0,0,0,255.0,0,0,0
18.27,37.05,0,0,0,255.0,0,0,0
19.27,37.05,0,0,0,255.0,0,0,0
20.26,49.95,0,0,0,23.95,0,0,0
21.28,49.83,0,0,0,23.96,0,0,0
22.29,49.62,0,0,0,23.95,0,0,0
23.26,49.43,0,0,0,23.96,0,0,0
24.27,49.3,0,0,0,23.95,0,0,0
25.28,49.19,0,0,0,23.97,0,0,0
26.27,49.1,0,0,0,23.96,0,0,0
27.29,49.02,0,0,0,23.94,0,0,0
28.29,48.99,0,0,0,23.94,0,0,0
29.26,48.97,0,0,0,23.93,0,0,0
30.28,48.95,0,0,0,23.98,0,0,0
31.28,48.95,0,0,0,23.95,0,0,0
32.25,48.9,0,0,0,23.95,0,0,0
33.27,48.91,0,0,0,23.93,0,0,0
34.26,48.87,0,0,0,23.97,0,0,0
35.26,48.89,0,0,0,23.97,0,0,0
36.28,48.89,0,0,0,23.99,0,0,0
37.26,48.86,0,0,0,24.01,0,0,0
38.25,48.99,0,0,0,24.12,0,0,0
39.25,52.11,0,0,0,24.15,0,0,0
40.24,56.44,0,0,0,25.86,0,0,0
41.26,67.22,0,0,0,29.09,0,0,0
42.26,76.41,0,0,0,31.41,0,0,0
43.26,82.14,0,0,0,32.14,0,0,0
44.26,85.69,0,0,0,32.78,0,0,0
45.25,87.94,0,0,0,32.55,0,0,0
46.23,88.06,0,0,0,31.93,0,0,0
47.25,88.87,0,0,0,32.88,0,0,0
48.24,89.99,0,0,0,32.29,0,0,0
49.2,86.9,0,0,0,32.96,0,0,0
50.27,88.3,0,0,0,35.13,0,0,0
51.25,90.19,0,0,0,35.17,0,0,0
52.26,90.13,0,0,0,33.79,0,0,0
53.25,89.39,0,0,0,33.76,0,0,0
54.24,90.52,0,0,0,34.76,0,0,0
55.26,91.79,0,0,0,36.13,0,0,0
56.23,92.36,0,0,0,36.15,0,0,0
57.23,92.84,0,0,0,37.13,0,0,0
58.24,93.21,0,0,0,37.88,0,0,0
59.25,93.4,0,0,0,38.4,0,0,0
60.25,93.06,0,0,0,36.77,0,0,0
61.24,92.16,0,0,0,35.84,0,0,0
62.2,92.82,0,0,0,36.62,0,0,0
63.25,93.07,0,0,0,35.85,0,0,0
64.18,93.38,0,0,0,36.39,0,0,0
65.25,93.58,0,0,0,36.69,0,0,0
66.23,93.77,0,0,0,37.23,0,0,0
67.24,93.92,0,0,0,37.9,0,0,0
68.23,93.93,0,0,0,38.09,0,0,0
69.25,93.91,0,0,0,38.23,0,0,0
70.23,93.91,0,0,0,37.99,0,0,0
71.24,93.59,0,0,0,36.97,0,0,0
72.25,93.81,0,0,0,37.28,0,0,0
73.24,94.02,0,0,0,37.88,0,0,0
74.23,94.13,0,0,0,38.24,0,0,0
75.22,94.11,0,0,0,38.24,0,0,0
76.25,94.14,0,0,0,38.72,0,0,0
77.22,94.74,0,0,0,42.1,0,0,0
78.24,94.44,0,0,0,41.7,0,0,0
79.23,94.31,0,0,0,41.48,0,0,0
80.23,94.38,0,0,0,41.93,0,0,0
81.25,94.05,0,0,0,40.41,0,0,0
82.23,93.97,0,0,0,39.32,0,0,0
83.23,94.15,0,0,0,39.6,0,0,0
84.23,94.42,0,0,0,40.37,0,0,0
85.22,94.61,0,0,0,41.47,0,0,0
86.22,94.61,0,0,0,42.2,0,0,0
87.23,94.54,0,0,0,42.04,0,0,0
88.22,94.39,0,0,0,41.5,0,0,0
89.24,94.33,0,0,0,41.08,0,0,0
90.24,94.44,0,0,0,41.26,0,0,0
91.23,94.79,0,0,0,42.8,0,0,0
92.23,94.71,0,0,0,42.7,0,0,0
93.24,94.69,0,0,0,42.91,0,0,0
94.24,94.57,0,0,0,42.53,0,0,0
95.22,94.6,0,0,0,42.39,0,0,0
96.22,94.6,0,0,0,42.2,0,0,0
97.23,94.62,0,0,0,42.12,0,0,0
98.22,94.54,0,0,0,41.89,0,0,0
99.23,94.59,0,0,0,41.75,0,0,0
100.24,94.71,0,0,0,42.21,0,0,0
101.24,94.52,0,0,0,41.67,0,0,0
102.24,94.5,0,0,0,41.5,0,0,0
103.24,94.69,0,0,0,41.75,0,0,0
104.22,94.9,0,0,0,42.83,0,0,0
105.19,94.9,0,0,0,42.79,0,0,0
106.18,94.35,0,0,0,41.13,0,0,0
107.21,94.21,0,0,0,40.71,0,0,0
108.19,94.64,0,0,0,41.48,0,0,0
109.2,95.0,0,0,0,42.89,0,0,0
110.2,94.67,0,0,0,41.36,0,0,0
