RH and T log,Tue Sep 16 09:46:11 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
6.18,55.77,0,0,0,21.92,0,0,0
6.4,55.81,0,0,0,21.93,0,0,0
7.36,55.83,0,0,0,21.95,0,0,0
8.36,55.78,0,0,0,21.91,0,0,0
9.35,55.83,0,0,0,21.94,0,0,0
10.37,55.79,0,0,0,21.94,0,0,0
11.34,55.79,0,0,0,21.92,0,0,0
12.35,55.8,0,0,0,21.95,0,0,0
13.35,55.81,0,0,0,21.94,0,0,0
14.36,55.81,0,0,0,21.95,0,0,0
15.36,55.76,0,0,0,21.95,0,0,0
16.4,55.76,0,0,0,21.94,0,0,0
17.33,55.77,0,0,0,21.95,0,0,0
18.41,55.73,0,0,0,21.95,0,0,0
19.35,55.76,0,0,0,21.95,0,0,0
20.36,55.72,0,0,0,21.95,0,0,0
21.37,55.74,0,0,0,21.96,0,0,0
22.37,55.78,0,0,0,21.96,0,0,0
23.4,55.77,0,0,0,21.95,0,0,0
24.38,55.76,0,0,0,21.94,0,0,0
25.38,55.78,0,0,0,21.98,0,0,0
26.4,55.76,0,0,0,21.96,0,0,0
27.4,55.72,0,0,0,21.97,0,0,0
28.43,55.74,0,0,0,21.97,0,0,0
29.4,55.74,0,0,0,21.98,0,0,0
30.31,55.71,0,0,0,21.97,0,0,0
31.4,55.73,0,0,0,21.98,0,0,0
32.31,55.69,0,0,0,21.97,0,0,0
33.39,55.65,0,0,0,21.97,0,0,0
34.3,55.68,0,0,0,21.98,0,0,0
35.38,55.64,0,0,0,22.0,0,0,0
36.3,55.65,0,0,0,21.98,0,0,0
37.39,55.67,0,0,0,21.99,0,0,0
38.3,55.67,0,0,0,21.98,0,0,0
39.3,55.65,0,0,0,21.99,0,0,0
40.3,55.61,0,0,0,22.01,0,0,0
41.3,55.58,0,0,0,21.98,0,0,0
42.29,55.56,0,0,0,22.0,0,0,0
43.29,55.56,0,0,0,21.99,0,0,0
44.29,55.58,0,0,0,22.01,0,0,0
45.29,55.57,0,0,0,22.0,0,0,0
46.29,55.6,0,0,0,21.99,0,0,0
47.29,55.7,0,0,0,22.0,0,0,0
48.29,55.89,0,0,0,21.99,0,0,0
49.29,55.93,0,0,0,22.02,0,0,0
50.29,55.85,0,0,0,21.98,0,0,0
51.29,55.82,0,0,0,22.02,0,0,0
52.28,55.76,0,0,0,22.0,0,0,0
53.28,55.7,0,0,0,22.02,0,0,0
54.28,55.71,0,0,0,21.99,0,0,0
55.28,55.71,0,0,0,22.0,0,0,0
56.28,55.67,0,0,0,22.0,0,0,0
57.28,55.68,0,0,0,22.0,0,0,0
