RH and T log,Tue Sep 23 10:17:17 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
13.27,98.4,100.0,0,0,55.47,67.89,0,0
13.73,98.4,95.83,0,0,55.49,68.84,0,0
14.56,98.41,95.52,0,0,55.49,55.02,0,0
15.56,98.39,98.78,0,0,55.46,54.65,0,0
16.56,98.42,99.67,0,0,55.42,54.53,0,0
17.77,98.41,100.0,0,0,55.42,67.93,0,0
18.72,98.41,98.02,0,0,55.4,68.29,0,0
19.56,98.4,96.27,0,0,55.4,54.97,0,0
20.55,98.4,98.94,0,0,55.4,54.6,0,0
21.55,98.42,99.66,0,0,55.38,54.5,0,0
22.65,98.4,100.0,0,0,55.38,67.93,0,0
23.68,98.42,98.04,0,0,55.36,68.27,0,0
24.55,98.41,96.25,0,0,55.35,54.95,0,0
25.55,98.39,98.93,0,0,55.33,54.59,0,0
26.55,98.42,99.68,0,0,55.37,54.45,0,0
27.65,98.41,100.0,0,0,55.33,67.89,0,0
28.65,98.41,98.02,0,0,55.33,68.21,0,0
29.55,98.4,96.22,0,0,55.32,54.9,0,0
30.54,98.4,98.9,0,0,55.32,54.56,0,0
31.54,98.42,99.67,0,0,55.3,54.43,0,0
32.64,98.4,100.0,0,0,55.28,67.86,0,0
33.64,98.44,98.05,0,0,55.29,68.21,0,0
34.54,98.42,96.22,0,0,55.25,54.88,0,0
35.54,98.42,98.91,0,0,55.23,54.52,0,0
36.54,98.42,99.61,0,0,55.26,54.4,0,0
37.64,98.38,100.0,0,0,55.21,67.85,0,0
38.64,98.4,97.96,0,0,55.21,68.17,0,0
39.54,98.43,96.19,0,0,55.21,54.87,0,0
40.54,98.42,98.9,0,0,55.19,54.5,0,0
41.53,98.41,99.63,0,0,55.19,54.37,0,0
42.63,98.4,100.0,0,0,55.17,67.81,0,0
43.63,98.41,97.98,0,0,55.14,68.13,0,0
44.53,98.41,96.18,0,0,55.13,54.81,0,0
45.53,98.41,98.88,0,0,55.12,54.44,0,0
46.53,98.4,99.63,0,0,55.15,54.33,0,0
47.63,98.42,100.0,0,0,55.14,67.77,0,0
48.63,98.41,97.98,0,0,55.11,68.08,0,0
49.53,98.42,96.2,0,0,55.1,54.77,0,0
50.53,98.42,98.88,0,0,55.08,54.39,0,0
51.53,98.43,99.61,0,0,55.09,54.25,0,0
52.63,98.42,100.0,0,0,55.08,67.71,0,0
53.62,98.42,97.96,0,0,55.06,68.04,0,0
54.52,98.42,96.17,0,0,55.05,54.72,0,0
55.52,98.44,98.86,0,0,55.04,54.34,0,0
56.52,98.43,99.61,0,0,55.03,54.23,0,0
57.62,98.41,100.0,0,0,55.03,67.68,0,0
58.62,98.41,98.0,0,0,54.99,68.01,0,0
59.52,98.42,96.13,0,0,55.03,54.68,0,0
60.52,98.42,98.88,0,0,55.01,54.31,0,0
61.52,98.44,99.6,0,0,55.0,54.17,0,0
62.62,98.43,100.0,0,0,55.0,67.59,0,0
63.61,98.43,98.01,0,0,54.99,67.95,0,0
64.51,98.45,96.11,0,0,54.95,54.61,0,0
65.51,98.42,98.84,0,0,54.96,54.24,0,0
66.51,98.42,99.6,0,0,54.95,54.12,0,0
67.61,98.45,100.0,0,0,54.95,67.58,0,0
68.61,98.45,97.98,0,0,54.9,67.91,0,0
69.51,98.44,96.13,0,0,54.91,54.58,0,0
70.51,98.43,98.86,0,0,54.89,54.21,0,0
71.51,98.44,99.56,0,0,54.88,54.07,0,0
72.61,98.44,100.0,0,0,54.88,67.53,0,0
73.61,98.44,97.98,0,0,54.89,67.88,0,0
74.5,98.45,96.1,0,0,54.88,54.54,0,0
75.5,98.44,98.84,0,0,54.86,54.16,0,0
76.5,98.45,99.56,0,0,54.86,54.04,0,0
77.6,98.43,100.0,0,0,54.85,67.5,0,0
78.6,98.45,97.97,0,0,54.84,67.85,0,0
79.5,98.43,96.09,0,0,54.86,54.51,0,0
80.5,98.43,98.84,0,0,54.83,54.17,0,0
81.5,98.44,99.59,0,0,54.84,54.04,0,0
82.6,98.45,100.0,0,0,54.86,67.49,0,0
83.6,98.45,97.97,0,0,54.86,67.83,0,0
84.5,98.44,96.1,0,0,54.84,54.53,0,0
85.49,98.46,98.83,0,0,54.84,54.16,0,0
86.49,98.45,99.58,0,0,54.84,54.04,0,0
87.59,98.45,100.0,0,0,54.83,67.49,0,0
88.59,98.44,97.98,0,0,54.82,67.83,0,0
89.49,98.44,96.06,0,0,54.83,54.51,0,0
90.49,98.45,98.86,0,0,54.82,54.15,0,0
91.49,98.45,99.6,0,0,54.8,54.04,0,0
92.59,98.45,100.0,0,0,54.81,67.5,0,0
93.59,98.47,97.96,0,0,54.8,67.83,0,0
94.49,98.45,96.06,0,0,54.79,54.5,0,0
95.49,98.46,98.85,0,0,54.77,54.14,0,0
96.49,98.46,99.6,0,0,54.77,54.01,0,0
97.58,98.46,100.0,0,0,54.77,67.49,0,0
98.58,98.47,97.97,0,0,54.78,67.81,0,0
99.48,98.47,96.06,0,0,54.75,54.49,0,0
100.48,98.46,98.85,0,0,54.74,54.14,0,0
101.48,98.47,99.58,0,0,54.77,54.0,0,0
102.58,98.47,100.0,0,0,54.73,67.46,0,0
103.58,98.42,97.97,0,0,54.73,67.8,0,0
104.48,98.46,96.02,0,0,54.74,54.45,0,0
105.48,98.47,98.84,0,0,54.75,54.1,0,0
106.48,98.47,99.57,0,0,54.72,53.96,0,0
107.58,98.45,100.0,0,0,54.71,67.44,0,0
108.57,98.45,97.93,0,0,54.71,67.8,0,0
109.47,98.46,96.01,0,0,54.71,54.44,0,0
110.47,98.46,98.81,0,0,54.7,54.07,0,0
111.47,98.47,99.55,0,0,54.7,53.97,0,0
112.57,98.43,100.0,0,0,54.67,67.44,0,0
113.57,98.45,97.95,0,0,54.67,67.76,0,0
114.47,98.46,95.98,0,0,54.67,54.43,0,0
115.47,98.45,98.8,0,0,54.63,54.08,0,0
116.47,98.46,99.54,0,0,54.64,53.96,0,0
117.57,98.48,100.0,0,0,54.67,67.39,0,0
118.57,98.46,97.95,0,0,54.62,67.74,0,0
119.46,98.46,96.02,0,0,54.61,54.39,0,0
120.46,98.49,98.78,0,0,54.61,54.01,0,0
121.46,98.47,99.55,0,0,54.59,53.88,0,0
122.56,98.46,100.0,0,0,54.59,67.37,0,0
123.56,98.47,97.91,0,0,54.59,67.67,0,0
124.46,98.46,95.99,0,0,54.58,54.34,0,0
125.46,98.48,98.8,0,0,54.57,53.96,0,0
126.46,98.46,99.54,0,0,54.52,53.81,0,0
127.56,98.46,100.0,0,0,54.53,67.28,0,0
128.56,98.47,97.93,0,0,54.53,67.61,0,0
129.46,98.48,95.96,0,0,54.51,54.28,0,0
130.46,98.46,98.78,0,0,54.51,53.9,0,0
131.45,98.46,99.51,0,0,54.51,53.75,0,0
132.55,98.45,100.0,0,0,54.48,67.23,0,0
133.55,98.47,97.95,0,0,54.48,67.55,0,0
134.46,98.46,95.93,0,0,54.45,54.19,0,0
135.46,98.47,98.76,0,0,54.42,53.83,0,0
136.46,98.45,99.53,0,0,54.43,53.83,0,0
137.55,98.46,100.0,0,0,54.44,67.29,0,0
138.55,98.47,98.1,0,0,54.41,67.67,0,0
139.48,98.47,96.17,0,0,54.4,54.34,0,0
140.46,98.47,98.81,0,0,54.36,53.47,0,0
141.47,98.47,99.54,0,0,54.36,53.3,0,0
142.54,98.47,100.0,0,0,54.35,66.8,0,0
143.54,98.48,98.2,0,0,54.35,67.26,0,0
144.47,98.5,96.22,0,0,54.34,53.93,0,0
145.49,98.47,98.84,0,0,54.33,53.56,0,0
146.47,98.49,99.55,0,0,54.32,53.42,0,0
147.54,98.48,100.0,0,0,54.28,66.9,0,0
148.54,98.48,98.2,0,0,54.29,67.3,0,0
149.46,98.48,96.2,0,0,54.29,54.0,0,0
150.47,98.51,98.81,0,0,54.29,53.59,0,0
151.48,98.48,99.54,0,0,54.3,53.43,0,0
152.53,98.47,100.0,0,0,54.24,66.88,0,0
153.53,98.46,98.14,0,0,54.24,67.28,0,0
154.46,98.48,96.21,0,0,54.24,53.96,0,0
155.46,98.48,98.8,0,0,54.19,53.53,0,0
156.46,98.5,99.49,0,0,54.24,53.37,0,0
157.53,98.48,100.0,0,0,54.21,66.84,0,0
158.53,98.49,98.13,0,0,54.21,67.22,0,0
159.48,98.5,96.17,0,0,54.16,53.92,0,0
160.47,98.49,98.76,0,0,54.16,53.47,0,0
161.48,98.51,99.5,0,0,54.16,53.31,0,0
162.53,98.5,100.0,0,0,54.13,66.81,0,0
