RH and T log,Mon Sep 15 14:21:09 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
10.32,54.06,54.32,0,0,23.59,23.83,0,0
11.03,54.1,54.33,0,0,23.59,23.82,0,0
12.03,54.09,54.36,0,0,23.57,23.8,0,0
13.03,54.08,54.31,0,0,23.57,23.79,0,0
14.03,54.13,54.34,0,0,23.55,23.81,0,0
15.03,54.13,54.37,0,0,23.56,23.79,0,0
16.02,54.11,54.38,0,0,23.57,23.79,0,0
17.02,54.14,54.37,0,0,23.57,23.8,0,0
18.14,54.13,54.36,0,0,23.54,23.79,0,0
19.02,54.12,54.37,0,0,23.57,23.8,0,0
20.02,54.14,54.37,0,0,23.55,23.78,0,0
21.02,54.14,54.41,0,0,23.56,23.79,0,0
22.02,54.16,54.35,0,0,23.57,23.8,0,0
23.02,54.12,54.12,0,0,23.53,255.0,0,0
24.02,54.27,54.59,0,0,23.59,23.82,0,0
25.01,54.61,55.05,0,0,23.61,23.8,0,0
26.03,54.7,54.7,0,0,23.64,255.0,0,0
27.05,55.15,55.15,0,0,23.69,255.0,0,0
28.06,55.39,56.2,0,0,23.74,23.85,0,0
29.04,55.82,55.82,0,0,23.74,255.0,0,0
30.01,56.49,56.49,0,0,23.77,255.0,0,0
31.05,57.0,57.0,0,0,23.76,255.0,0,0
32.06,56.81,56.81,0,0,23.76,255.0,0,0
33.02,56.45,56.44,0,0,23.78,23.8,0,0
34.1,56.1,56.14,0,0,23.76,23.8,0,0
35.02,55.8,55.8,0,0,23.77,255.0,0,0
36.02,55.54,55.54,0,0,23.77,255.0,0,0
37.03,55.47,55.72,0,0,23.8,23.79,0,0
38.04,55.46,55.87,0,0,23.84,23.81,0,0
39.04,55.78,56.02,0,0,23.82,23.8,0,0
40.13,56.02,56.02,0,0,23.87,255.0,0,0
41.06,56.22,55.92,0,0,23.92,23.83,0,0
42.09,56.07,56.09,0,0,23.93,23.83,0,0
43.07,55.83,56.31,0,0,23.95,23.86,0,0
44.04,55.64,56.39,0,0,23.99,23.85,0,0
45.06,55.45,56.46,0,0,24.02,23.87,0,0
46.05,55.24,55.24,0,0,24.0,255.0,0,0
47.04,54.98,56.15,0,0,24.02,23.87,0,0
48.05,54.84,56.01,0,0,24.02,23.87,0,0
49.06,54.77,55.96,0,0,24.03,23.88,0,0
50.05,54.76,55.95,0,0,24.02,23.89,0,0
51.04,54.59,55.77,0,0,24.03,23.87,0,0
52.04,54.32,55.53,0,0,24.05,23.89,0,0
53.04,54.15,55.39,0,0,24.03,23.86,0,0
54.04,54.03,55.17,0,0,23.99,23.82,0,0
55.04,53.89,54.99,0,0,23.92,23.78,0,0
56.04,53.94,53.94,0,0,23.94,255.0,0,0
57.03,54.34,54.34,0,0,23.92,255.0,0,0
58.03,54.3,55.0,0,0,23.95,23.83,0,0
59.03,54.38,55.15,0,0,24.0,23.83,0,0
60.03,54.5,55.36,0,0,24.0,23.88,0,0
61.07,54.78,55.62,0,0,24.03,23.9,0,0
62.04,54.89,55.84,0,0,24.06,23.89,0,0
63.07,55.84,55.84,0,0,23.89,23.89,0,0
64.07,55.84,55.84,0,0,23.89,23.89,0,0
65.07,55.84,55.84,0,0,23.89,23.89,0,0
66.06,55.84,55.84,0,0,23.89,23.89,0,0
67.06,55.84,55.84,0,0,23.89,23.89,0,0
68.06,55.84,55.84,0,0,23.89,23.89,0,0
69.07,55.84,55.84,0,0,23.89,23.89,0,0
70.09,55.84,55.84,0,0,23.89,23.89,0,0
71.06,55.84,55.84,0,0,23.89,23.89,0,0
72.06,55.84,55.84,0,0,23.89,23.89,0,0
73.06,55.84,55.84,0,0,23.89,23.89,0,0
74.06,55.84,55.84,0,0,23.89,23.89,0,0
75.08,55.84,55.84,0,0,23.89,23.89,0,0
