RH and T log,Tue Sep 16 09:34:10 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
10.43,100.0,100.0,0,0,21.69,21.98,0,0
10.94,100.0,100.0,0,0,21.68,22.01,0,0
11.93,100.0,100.0,0,0,21.69,22.02,0,0
12.94,100.0,100.0,0,0,21.69,22.0,0,0
13.94,100.0,100.0,0,0,21.69,21.96,0,0
14.95,100.0,100.0,0,0,21.69,21.97,0,0
15.93,100.0,100.0,0,0,21.68,21.96,0,0
16.93,100.0,100.0,0,0,21.69,21.91,0,0
17.94,100.0,100.0,0,0,21.69,21.9,0,0
18.94,100.0,100.0,0,0,21.68,21.87,0,0
19.97,100.0,100.0,0,0,21.68,21.86,0,0
20.97,100.0,100.0,0,0,21.69,21.86,0,0
21.99,100.0,100.0,0,0,21.71,21.87,0,0
22.96,100.0,100.0,0,0,21.69,21.9,0,0
23.95,100.0,100.0,0,0,21.68,21.9,0,0
24.98,100.0,100.0,0,0,21.7,21.94,0,0
25.97,100.0,100.0,0,0,21.71,21.92,0,0
26.99,100.0,100.0,0,0,21.69,21.95,0,0
27.98,100.0,100.0,0,0,21.71,21.94,0,0
28.96,100.0,100.0,0,0,21.7,21.97,0,0
29.98,100.0,100.0,0,0,21.71,21.98,0,0
30.98,100.0,100.0,0,0,21.69,22.08,0,0
31.97,100.0,100.0,0,0,21.62,22.12,0,0
32.97,100.0,100.0,0,0,21.55,22.13,0,0
34.0,100.0,100.0,0,0,21.48,22.04,0,0
35.0,100.0,100.0,0,0,21.29,22.04,0,0
36.0,100.0,100.0,0,0,21.09,21.98,0,0
37.03,100.0,100.0,0,0,20.81,21.77,0,0
37.99,100.0,100.0,0,0,20.55,21.4,0,0
39.02,100.0,100.0,0,0,20.36,21.21,0,0
40.04,100.0,100.0,0,0,20.2,21.08,0,0
41.04,100.0,100.0,0,0,20.09,21.0,0,0
42.04,100.0,100.0,0,0,20.0,20.91,0,0
43.03,100.0,100.0,0,0,19.92,20.8,0,0
44.05,100.0,100.0,0,0,19.89,20.68,0,0
45.05,100.0,100.0,0,0,19.86,20.64,0,0
46.06,100.0,100.0,0,0,19.81,20.44,0,0
46.96,100.0,100.0,0,0,19.74,20.04,0,0
48.05,100.0,100.0,0,0,19.75,19.78,0,0
48.88,100.0,100.0,0,0,19.64,19.61,0,0
49.88,100.0,100.0,0,0,19.7,19.56,0,0
50.88,100.0,100.0,0,0,19.51,19.5,0,0
51.88,100.0,100.0,0,0,19.44,19.51,0,0
52.88,100.0,100.0,0,0,19.41,19.57,0,0
53.88,100.0,100.0,0,0,19.44,19.65,0,0
54.88,100.0,100.0,0,0,19.48,19.74,0,0
55.87,100.0,100.0,0,0,19.46,19.8,0,0
56.87,100.0,100.0,0,0,19.46,19.84,0,0
57.87,100.0,100.0,0,0,19.49,19.9,0,0
58.87,100.0,100.0,0,0,19.51,19.95,0,0
59.87,100.0,100.0,0,0,19.52,19.96,0,0
60.87,100.0,100.0,0,0,19.51,20.0,0,0
61.87,100.0,100.0,0,0,19.53,20.08,0,0
62.87,100.0,100.0,0,0,19.5,20.16,0,0
63.86,100.0,100.0,0,0,19.48,20.17,0,0
64.86,100.0,100.0,0,0,19.47,20.25,0,0
65.86,100.0,100.0,0,0,19.46,20.31,0,0
66.86,100.0,100.0,0,0,19.43,20.39,0,0
67.86,100.0,100.0,0,0,19.45,20.46,0,0
68.86,100.0,100.0,0,0,19.37,20.48,0,0
69.86,100.0,100.0,0,0,19.35,20.46,0,0
70.85,100.0,100.0,0,0,19.35,20.45,0,0
71.85,100.0,100.0,0,0,19.39,20.49,0,0
72.85,100.0,100.0,0,0,19.35,20.52,0,0
73.85,100.0,100.0,0,0,19.39,20.55,0,0
74.85,100.0,100.0,0,0,19.37,20.58,0,0
75.85,100.0,100.0,0,0,19.36,20.6,0,0
76.85,100.0,100.0,0,0,19.37,20.67,0,0
77.85,100.0,100.0,0,0,19.39,20.78,0,0
78.84,100.0,100.0,0,0,19.4,20.88,0,0
79.84,100.0,100.0,0,0,19.41,20.93,0,0
80.84,100.0,100.0,0,0,19.4,20.98,0,0
81.84,100.0,100.0,0,0,19.37,21.05,0,0
82.84,100.0,100.0,0,0,19.4,21.08,0,0
83.84,100.0,100.0,0,0,19.41,21.08,0,0
84.84,100.0,100.0,0,0,19.41,21.09,0,0
85.84,100.0,100.0,0,0,19.43,21.14,0,0
86.83,100.0,100.0,0,0,19.43,21.16,0,0
87.83,100.0,100.0,0,0,19.4,21.18,0,0
88.83,100.0,100.0,0,0,19.38,21.13,0,0
89.83,100.0,100.0,0,0,19.33,21.16,0,0
90.83,100.0,100.0,0,0,19.32,21.28,0,0
91.83,100.0,100.0,0,0,19.33,21.37,0,0
92.83,100.0,100.0,0,0,19.33,21.09,0,0
93.83,100.0,100.0,0,0,19.32,20.92,0,0
94.82,100.0,100.0,0,0,19.31,20.82,0,0
95.82,100.0,100.0,0,0,19.31,20.77,0,0
96.82,100.0,100.0,0,0,19.32,20.67,0,0
97.82,100.0,100.0,0,0,19.35,20.59,0,0
98.82,100.0,100.0,0,0,19.37,20.52,0,0
99.82,100.0,100.0,0,0,19.36,20.4,0,0
100.82,100.0,100.0,0,0,19.39,20.27,0,0
101.82,100.0,100.0,0,0,19.41,20.08,0,0
102.81,100.0,100.0,0,0,19.42,19.97,0,0
103.81,100.0,100.0,0,0,19.39,19.88,0,0
104.81,100.0,100.0,0,0,19.39,19.88,0,0
105.81,100.0,100.0,0,0,19.16,20.05,0,0
