RH and T log,Tue Sep 23 11:16:28 2025
Time (s),RH1,RH2,RH3,RH4,T1,T2,T3,T4
10.89,99.24,97.28,0,0,37.19,40.11,0,0
11.29,99.24,97.31,0,0,37.21,40.12,0,0
12.32,99.26,97.28,0,0,37.18,40.09,0,0
13.32,99.28,97.32,0,0,37.2,40.07,0,0
14.31,99.23,97.32,0,0,37.15,39.99,0,0
15.35,99.25,97.38,0,0,37.17,39.98,0,0
16.28,99.25,97.33,0,0,37.16,40.07,0,0
17.42,99.27,97.29,0,0,37.16,40.1,0,0
18.37,99.26,97.32,0,0,37.15,40.06,0,0
19.31,99.26,97.37,0,0,37.16,40.04,0,0
20.31,99.28,97.41,0,0,37.15,40.09,0,0
21.31,99.24,97.37,0,0,37.14,40.12,0,0
22.29,99.26,97.31,0,0,37.15,40.2,0,0
23.32,99.28,97.18,0,0,37.13,40.21,0,0
24.3,99.27,97.13,0,0,37.13,40.22,0,0
25.3,99.28,97.09,0,0,37.14,40.17,0,0
26.32,99.28,97.02,0,0,37.12,40.14,0,0
27.3,99.24,97.04,0,0,37.11,40.14,0,0
28.31,99.27,97.07,0,0,37.1,40.11,0,0
29.34,99.26,97.1,0,0,37.09,40.16,0,0
30.32,99.28,97.12,0,0,37.09,40.25,0,0
31.38,99.28,97.12,0,0,37.09,40.23,0,0
32.29,99.26,97.12,0,0,37.1,40.3,0,0
33.29,99.29,97.05,0,0,37.09,40.36,0,0
34.29,99.27,96.93,0,0,37.1,40.38,0,0
35.29,99.27,96.87,0,0,37.09,40.41,0,0
36.3,99.26,96.78,0,0,37.09,40.4,0,0
37.3,99.26,96.74,0,0,37.07,40.48,0,0
38.33,99.26,96.71,0,0,37.05,40.48,0,0
39.32,99.27,96.64,0,0,37.05,40.53,0,0
40.29,99.27,96.66,0,0,37.06,40.53,0,0
41.3,99.25,96.64,0,0,37.05,40.52,0,0
42.29,99.28,96.78,0,0,37.06,40.44,0,0
43.32,99.3,96.92,0,0,37.05,40.37,0,0
44.29,99.26,97.0,0,0,37.08,40.29,0,0
45.31,99.27,97.13,0,0,37.07,40.24,0,0
46.4,99.29,97.14,0,0,37.06,40.18,0,0
47.31,99.28,97.16,0,0,37.06,40.11,0,0
48.29,99.28,97.22,0,0,37.03,40.1,0,0
49.3,99.27,97.21,0,0,37.02,40.08,0,0
50.34,99.26,97.21,0,0,37.0,40.11,0,0
51.3,99.27,97.23,0,0,37.03,40.14,0,0
52.3,99.26,97.22,0,0,37.01,40.09,0,0
53.29,99.27,97.31,0,0,37.02,40.1,0,0
54.28,99.28,97.35,0,0,37.0,40.12,0,0
55.29,99.26,97.35,0,0,37.03,40.11,0,0
56.31,99.27,97.29,0,0,37.01,40.17,0,0
57.3,99.28,97.25,0,0,37.0,40.17,0,0
58.32,99.27,97.16,0,0,37.01,40.19,0,0
59.32,99.29,97.11,0,0,37.0,40.18,0,0
60.3,99.26,97.06,0,0,36.99,40.17,0,0
61.39,99.27,97.07,0,0,36.99,40.16,0,0
62.3,99.27,97.07,0,0,36.99,40.16,0,0
63.32,99.71,97.11,0,0,39.8,40.18,0,0
64.34,99.63,97.12,0,0,39.86,40.18,0,0
65.34,99.59,97.1,0,0,39.86,40.17,0,0
66.35,99.57,97.06,0,0,39.9,40.17,0,0
67.34,99.51,97.06,0,0,39.91,40.18,0,0
68.34,99.5,97.1,0,0,39.91,40.12,0,0
69.35,99.48,97.08,0,0,39.91,40.07,0,0
70.35,99.44,97.1,0,0,39.93,40.11,0,0
71.34,99.39,97.07,0,0,39.92,40.07,0,0
72.35,99.37,97.08,0,0,39.91,40.08,0,0
73.34,99.33,97.05,0,0,39.93,40.03,0,0
74.33,99.33,97.05,0,0,39.94,40.02,0,0
75.33,99.27,97.13,0,0,39.93,40.02,0,0
76.4,99.28,97.26,0,0,39.95,40.03,0,0
77.34,99.29,97.32,0,0,39.93,40.03,0,0
78.33,99.31,97.35,0,0,39.98,40.03,0,0
79.35,99.28,97.27,0,0,39.96,40.02,0,0
80.33,99.26,97.24,0,0,39.97,40.07,0,0
81.35,99.28,97.19,0,0,39.98,40.05,0,0
82.34,99.26,97.18,0,0,39.96,40.06,0,0
83.34,99.26,97.15,0,0,39.97,40.07,0,0
84.35,99.28,97.13,0,0,39.98,40.04,0,0
85.33,99.26,97.18,0,0,39.98,40.03,0,0
86.34,99.25,97.22,0,0,39.95,39.97,0,0
87.34,99.26,97.25,0,0,39.99,40.01,0,0
88.34,99.23,97.28,0,0,39.97,39.97,0,0
89.34,99.24,97.27,0,0,39.99,39.95,0,0
90.33,99.25,97.33,0,0,39.98,39.98,0,0
91.44,99.23,97.31,0,0,39.94,39.99,0,0
92.34,99.26,97.27,0,0,39.95,40.01,0,0
93.33,99.23,97.27,0,0,39.95,39.98,0,0
94.33,99.22,97.29,0,0,39.97,39.96,0,0
95.32,99.23,97.25,0,0,39.95,39.85,0,0
96.35,99.24,97.27,0,0,39.94,39.85,0,0
97.36,99.22,97.35,0,0,39.95,39.82,0,0
98.36,99.21,97.38,0,0,39.97,39.8,0,0
99.36,99.2,97.36,0,0,39.93,39.79,0,0
100.36,99.18,97.38,0,0,39.92,39.74,0,0
101.36,99.22,97.46,0,0,39.94,39.73,0,0
102.37,99.18,97.54,0,0,39.92,39.73,0,0
103.33,99.18,97.55,0,0,39.93,39.75,0,0
104.38,99.2,97.56,0,0,39.95,39.81,0,0
105.38,99.16,97.59,0,0,39.96,39.89,0,0
106.45,99.16,97.49,0,0,39.94,39.91,0,0
107.37,99.2,97.38,0,0,39.92,39.9,0,0
108.37,99.18,97.34,0,0,39.93,39.89,0,0
109.38,99.17,97.29,0,0,39.93,39.95,0,0
110.39,99.17,97.23,0,0,39.95,39.96,0,0
111.37,99.17,97.18,0,0,39.94,39.98,0,0
112.37,99.17,97.12,0,0,39.94,39.99,0,0
113.35,99.15,97.09,0,0,39.91,39.96,0,0
114.37,99.12,97.07,0,0,39.92,39.93,0,0
115.38,99.12,97.09,0,0,39.92,39.94,0,0
116.36,99.15,97.19,0,0,39.91,39.94,0,0
117.32,99.15,97.21,0,0,39.91,39.96,0,0
118.37,99.15,97.25,0,0,39.92,39.85,0,0
119.37,99.14,97.34,0,0,39.92,39.85,0,0
120.39,99.16,97.34,0,0,39.91,39.86,0,0
121.39,99.14,97.27,0,0,39.92,39.86,0,0
122.36,99.09,97.24,0,0,39.91,39.79,0,0
123.32,99.11,97.26,0,0,39.91,39.71,0,0
124.36,99.11,97.4,0,0,39.92,39.76,0,0
125.32,99.12,97.43,0,0,39.92,39.78,0,0
126.36,99.12,97.43,0,0,39.89,39.77,0,0
127.32,99.09,97.43,0,0,39.88,39.77,0,0
